,Courses,Classes
86," ANTH 2559 New Course in Anthropology
","19730 002Lecture (3)Open19 / 60Henry SkerrittMoWe 3:30pm - 4:45pmMcLeod Hall 2007
"
87," ANTH 3020 Using Anthropology
","12436 100Lecture (3)Wait List (9 / 199) 59 / 60Aidan Seale-FeldmanMoWe 9:00am - 9:50amMaury Hall 104
"
88," ANTH 3020 Using Anthropology
","19134 101Discussion (0)Wait List (1 / 199) 20 / 20Shane WeitzmanFr 9:00am - 9:50amBrooks Hall 103
"
89," ANTH 3020 Using Anthropology
","19135 102Discussion (0)Wait List (5 / 199) 19 / 20Shane WeitzmanFr 11:00am - 11:50amThe Rotunda Room 152
"
90," ANTH 3020 Using Anthropology
","19136 103Discussion (0)Wait List (6 / 199) 20 / 20Shane WeitzmanTh 3:00pm - 3:50pmNew Cabell Hall 268
"
91," ANTH 3240 The Anthropology of Food
","19156 100Lecture (3)Wait List (6 / 199) 60 / 60Kasey JerniganMoWe 10:00am - 10:50amRuffner Hall G004
"
92," ANTH 3240 The Anthropology of Food
","19157 101Discussion (0)Wait List (6 / 199) 20 / 20Jeffrey AttridgeTh 3:00pm - 3:50pmGibson Hall 241
"
93," ANTH 3240 The Anthropology of Food
","19158 102Discussion (0)Open 14 / 20Jeffrey AttridgeFr 8:00am - 8:50amBrooks Hall 103
"
94," ANTH 3240 The Anthropology of Food
","19159 103Discussion (0)Wait List (2 / 99) 26 / 20Jeffrey AttridgeFr 10:00am - 10:50amNew Cabell Hall 332
"
95," ANTH 3290 Biopolitics and the Contemporary Condition
","13117 001Lecture (3)Wait List (11 / 99) 30 / 30Jarrett ZigonTh 3:30pm - 6:00pmNew Cabell Hall 383
"
96," ANTH 3390 Pregnancy, Birthing and the Post-Partum
","19771 001Lecture (3)Open 56 / 60Gertrude FraserTuTh 3:30pm - 4:45pmMaury Hall 104
"
97," ANTH 3470 Language and Culture in the Middle East
","19171 100Lecture (3)Open 28 / 65Daniel LefkowitzMoWe 11:00am - 11:50amClaude Moore Nursing Educ G120
"
98," ANTH 3470 Language and Culture in the Middle East
","19393 101Discussion (0)Wait List (0 / 0) 10 / 20Tirajeh Tahvildar AkbariWe 5:00pm - 5:50pmBrooks Hall 103
"
99," ANTH 3470 Language and Culture in the Middle East
","19394 102Discussion (0)Wait List (0 / 0) 10 / 20Tirajeh Tahvildar AkbariTh 5:00pm - 5:50pmBrooks Hall 103
"
100," ANTH 3470 Language and Culture in the Middle East
","19395 103Discussion (0)Open 8 / 20Tirajeh Tahvildar AkbariFr 1:00pm - 1:50pmBrooks Hall 103
"
101," ANTH 3490 Language and Thought
","19151 100Lecture (3)Open, WL (2 / 199) 59 / 60Eve DanzigerWeFr 10:00am - 10:50amMaury Hall 115
"
102," ANTH 3490 Language and Thought
","19152 101Discussion (0)Wait List (1 / 199) 20 / 20Colleen WinkelmanMo 10:00am - 10:50amThe Rotunda Room 152
"
103," ANTH 3490 Language and Thought
","19153 102Discussion (0)Open 19 / 20Colleen WinkelmanTu 11:00am - 11:50amNew Cabell Hall 115
"
104," ANTH 3490 Language and Thought
","19154 103Discussion (0)Wait List (2 / 199) 20 / 20Colleen WinkelmanMo 5:00pm - 5:50pmNew Cabell Hall 111
"
105," ANTH 3559 New Course in Anthropology
","19155 001Lecture (3)Wait List (0 / 199) 20 / 20Lise DobrinTu 2:00pm - 4:30pmBrooks Hall 103
"
106," ANTH 3589 Topics in Archaeology
","19167 100Lecture (3)Wait List (5 / 199) 35 / 35Julia HainesTuTh 9:30am - 10:45amClinical Department Wing 2677
"
107," ANTH 3590 Social and Cultural Anthropology
","13541 001Lecture (3)Wait List (5 / 199) 30 / 30Aidan Seale-FeldmanWe 3:30pm - 6:00pmNew Cabell Hall 332
"
108," ANTH 3590 Social and Cultural Anthropology
","13544 002Lecture (3)Open 3 / 8Adriana Greci GreenTu 1:00pm - 3:30pmFayerweather Hall 208
"
109," ANTH 3590 Social and Cultural Anthropology
","19377 004Lecture (3)Open 4 / 35Mingyun ZhangTuTh 3:30pm - 4:45pmNew Cabell Hall 032
"
110," ANTH 3885 Archaeology of Europe
","19169 100Lecture (3)Wait List (0 / 199) 45 / 45Adria LaVioletteTuTh 12:30pm - 1:45pmClinical Department Wing 2677
"
111," ANTH 4591 Majors Seminar
","11651 001SEM (3)Wait List (4 / 199) 15 / 15Bremen DonovanTuTh 2:00pm - 3:15pmNew Cabell Hall 042
"
112," ANTH 4591 Majors Seminar
","12300 002SEM (3)Wait List (2 / 199) 17 / 18Alison BroachMoWe 2:00pm - 3:15pmThe Rotunda Room 150
"
113," ANTH 4993 Independent Study in Anthropology
","11437 011IND (1 - 6)Open0 / 5Frederick DamonTBATBA
"
114," ANTH 4993 Independent Study in Anthropology
","13683 030IND (1 - 6)Open 1 / 30Adria LaVioletteTBATBA
"
115," ANTH 4993 Independent Study in Anthropology
","20805 031IND (1 - 6)Open0 / 5Mark SicoliTBATBA
"
116," ANTH 4999 Distinguished Majors Thesis Writing
","13920 001IND (3)Open0 / 30Ira BashkowTBATBA
"
117," ANTH 4999 Distinguished Majors Thesis Writing
","11972 025IND (3)Open0 / 30China ScherzTBATBA
"
118," ANTH 5360 World Mental Health
","11401 001Lecture (3)Wait List (14 / 199) 35 / 20Richard MerkelWe 6:30pm - 9:00pmClark Hall 102
"
119," ANTH 5401 Linguistic Field Methods
","11652 001Lecture (3)Wait List (0 / 199)17 / 16Armik MirzayanMo 5:00pm - 7:30pmBrooks Hall 103
"
120," ANTH 5410 Phonology
","19671 001Lecture (3)Closed20 / 20Armik MirzayanTuTh 3:30pm - 4:45pmNew Cabell Hall 303
"
121," ANTH 5425 Language Contact
","19182 001Lecture (3)Permission20 / 20Mark SicoliWe 2:00pm - 4:30pmBrooks Hall B004
"
122," ANTH 5465 Language and the Culture of Preservation
","19181 001SEM (3)Wait List (0 / 199)18 / 18Lise DobrinTh 5:00pm - 7:30pmFayerweather Hall 215
"
123," ANTH 5589 Selected Topics in Archaeology
","19183 001Lecture (3)Permission9 / 15Adria LaVioletteTu 5:00pm - 7:30pmNew Cabell Hall 056
"
124," ANTH 5590 Topics in Social and Cultural Anthropology
","19690 001SEM (3)Open12 / 18Gertrude FraserWe 5:00pm - 7:30pmNew Cabell Hall 594
"
125," ANTH 7020 Contemporary Anthropological Theory
","10010 001SEM (3)Permission11 / 15China ScherzMo 2:00pm - 4:30pmRuffner Hall 123
"
126," ANTH 7040 Ethnographic Research Design and Methods
","19648 001SEM (3)Open9 / 20Ira BashkowTuTh 2:00pm - 3:15pmNew Cabell Hall 338
"
127," ANTH 7470 Language and Culture in the Middle East
","19184 100Lecture (3)Open0 / 65Daniel LefkowitzMoWe 11:00am - 11:50amClaude Moore Nursing Educ G120
"
128," ANTH 7470 Language and Culture in the Middle East
","19747 101Discussion (0)Open0 / 5Daniel LefkowitzFr 11:00am - 11:50amMonroe Hall 113
"
129," ANTH 7590 Topics in Social and Cultural Anthropology
","19692 001SEM (3)Closed9 / 9Peter MetcalfMoWe 12:30pm - 1:45pmBrooks Hall 311
"
130," ANTH 8998 Non-Topical Research, Preparation for Research
","10011 001IND (1 - 12)Open2 / 50Ira Bashkow+1TBATBA
"
131," ANTH 8998 Non-Topical Research, Preparation for Research
","20782 002IND (1 - 12)Open0 / 30Mark SicoliTBATBA
"
132," ANTH 8998 Non-Topical Research, Preparation for Research
","11261 004IND (1 - 12)Open0 / 30Frederick DamonTBATBA
"
133," ANTH 8998 Non-Topical Research, Preparation for Research
","11262 005IND (1 - 12)Open 0 / 30Eve DanzigerTBATBA
"
134," ANTH 8998 Non-Topical Research, Preparation for Research
","11263 006IND (1 - 12)Open1 / 30Lise DobrinTBATBA
"
135," ANTH 8998 Non-Topical Research, Preparation for Research
","11265 008IND (1 - 12)Open0 / 30Gertrude FraserTBATBA
"
136," ANTH 8998 Non-Topical Research, Preparation for Research
","11266 009IND (1 - 12)Open 0 / 30Richard HandlerTBATBA
"
137," ANTH 8998 Non-Topical Research, Preparation for Research
","11269 012IND (1 - 12)Open 0 / 30Adria LaVioletteTBATBA
"
138," ANTH 8998 Non-Topical Research, Preparation for Research
","11270 013IND (1 - 12)Open0 / 30Daniel LefkowitzTBATBA
"
139," ANTH 8998 Non-Topical Research, Preparation for Research
","11271 016IND (1 - 12)Open0 / 30George MentoreTBATBA
"
140," ANTH 8998 Non-Topical Research, Preparation for Research
","11272 017IND (1 - 12)Open0 / 30Rachel MostTBATBA
"
141," ANTH 8998 Non-Topical Research, Preparation for Research
","11275 023IND (1 - 12)Open0 / 30Patricia WattenmakerTBATBA
"
