,Department,Course_Num,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Meeting_Time,Meeting_Dates,Professor
169,ANTH,9020,20742,002,IND,1 - 12,20,TBA,TBA,,Eve Danziger
170,ANTH,9020,20281,022,IND,1 - 12,20,TBA,TBA,,Adria LaViolette
171,ANTH,9020,11279,023,IND,1 - 12,20,TBA,TBA,,Patricia Wattenmaker
172,ANTH,9020,11966,026,IND,1 - 12,20,TBA,TBA,,Jim Igoe
173,ANTH,9020,13778,032,IND,1 - 12,20,TBA,TBA,,John Shepherd
174,ANTH,9020,13822,033,IND,1 - 12,20,TBA,TBA,,Aidan Seale-Feldman
175,ANTH,9050,12332,001,IND,1,15,TBA,TBA,,China Scherz
176,ANTH,9998,20740,001,IND,1 - 12,20,TBA,TBA,,Jarrett Zigon
177,ANTH,9998,11280,002,IND,1 - 12,20,TBA,TBA,,Ira Bashkow
178,ANTH,9998,11282,004,IND,1 - 12,20,TBA,TBA,,Frederick Damon
179,ANTH,9998,11283,005,IND,1 - 12,20,TBA,TBA,,Eve Danziger
180,ANTH,9998,11284,006,IND,1 - 12,20,TBA,TBA,,Lise Dobrin
181,ANTH,9998,11286,008,IND,1 - 12,20,TBA,TBA,,Gertrude Fraser
182,ANTH,9998,11287,009,IND,1 - 12,20,TBA,TBA,,Richard Handler
183,ANTH,9998,11290,012,IND,1 - 12,20,TBA,TBA,,Adria LaViolette
184,ANTH,9998,11291,013,IND,1 - 12,20,TBA,TBA,,Daniel Lefkowitz
185,ANTH,9998,11292,016,IND,1 - 12,20,TBA,TBA,,George Mentore
186,ANTH,9998,11293,017,IND,1 - 12,20,TBA,TBA,,Rachel Most
187,ANTH,9998,11295,019,IND,1 - 12,20,TBA,TBA,,China Scherz
188,ANTH,9998,11296,020,IND,1 - 12,20,TBA,TBA,,John Shepherd
189,ANTH,9998,11297,023,IND,1 - 12,20,TBA,TBA,,Patricia Wattenmaker
190,ANTH,9998,11298,024,IND,1 - 12,20,TBA,TBA,,Kath Weston
191,ANTH,9998,11967,025,IND,1 - 12,20,TBA,TBA,,Jim Igoe
192,ANTH,9998,11968,026,IND,1 - 12,20,TBA,TBA,,Fraser Neiman
193,ANTH,9998,11969,027,IND,1 - 12,20,TBA,TBA,,Margo Smith
194,ANTH,9999,10012,001,IND,1 - 12,30,TBA,TBA,,Ira Bashkow
195,ANTH,9999,20741,002,IND,1 - 12,30,TBA,TBA,,Jarrett Zigon
