,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Lecture_Num
96,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12063,111,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1400,1630,2,436
97,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12064,112,Laboratory,0,24,Chemistry Bldg Room 326,Chenyu Yang+1,1400,1630,2,436
98,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12065,113,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1400,1630,2,436
99,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12104,114,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1730,2000,2,436
100,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12105,115,Laboratory,0,24,Chemistry Bldg Room 326,Asha Krishnakumar+1,1730,2000,2,436
101,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12066,116,Laboratory,0,24,Chemistry Bldg Room 328,Jenny Ding+1,1730,2000,2,436
102,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12106,117,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1000,1230,3,436
103,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12067,118,Laboratory,0,24,Chemistry Bldg Room 326,Helen Query+1,1000,1230,3,436
104,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12877,119,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1000,1230,3,436
105,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12068,120,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1400,1630,3,436
106,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12107,121,Laboratory,0,24,Chemistry Bldg Room 326,Jessamyn Manson+1,1400,1630,3,436
107,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12108,122,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1400,1630,3,436
108,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12069,123,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1730,2000,3,436
109,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12109,124,Laboratory,0,24,Chemistry Bldg Room 326,Emily Han+1,1730,2000,3,436
110,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12070,125,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1730,2000,3,436
111,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12071,126,Laboratory,0,24,Chemistry Bldg Room 324,Christopher Robinson+1,1000,1230,4,436
112,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12110,127,Laboratory,0,24,Chemistry Bldg Room 326,Everett Altherr+1,1000,1230,4,436
113,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12111,128,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1000,1230,4,436
114,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12112,129,Laboratory,0,24,Chemistry Bldg Room 324,Christopher Robinson+1,1400,1630,4,436
