,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Discussion_Lab_Nums
1170,ENWR,1510,Writing and Critical Inquiry,12604,85,SEM,3,18,Shannon House 108,Megan Haury,930,1045,"2, 4",None
1171,ENWR,1510,Writing and Critical Inquiry,12830,87,SEM,3,18,Bryan Hall 334,Matthew Davis,800,915,"2, 4",None
1172,ENWR,1510,Writing and Critical Inquiry,12841,88,SEM,3,18,New Cabell Hall 044,Justin Stec,800,915,"2, 4",None
1173,ENWR,1510,Writing and Critical Inquiry,12844,89,SEM,3,18,Bryan Hall 332,Grace Vasington,900,950,"1, 3, 5",None
1174,ENWR,1510,Writing and Critical Inquiry,12845,90,SEM,3,18,New Cabell Hall 485,Grace Vasington,1100,1150,"1, 3, 5",None
1175,ENWR,1510,Writing and Critical Inquiry,12890,92,SEM,3,18,Bryan Hall 332,Kelli Shermeyer,1100,1150,"1, 3, 5",None
1176,ENWR,1510,Writing and Critical Inquiry,13198,95,SEM,3,18,Astronomy Bldg 265,Lucia Alden,930,1045,"2, 4",None
1177,ENWR,1510,Writing and Critical Inquiry,13199,96,SEM,3,18,New Cabell Hall 064,Alexandra Kennedy,1000,1050,"1, 3, 5",None
1178,ENWR,1510,Writing and Critical Inquiry,13200,97,SEM,3,18,New Cabell Hall 389,DeVan Ard,930,1045,"2, 4",None
1179,ENWR,1510,Writing and Critical Inquiry,13201,98,SEM,3,18,New Cabell Hall 315,Stephen Hoyle,930,1045,"2, 4",None
1180,ENWR,1510,Writing and Critical Inquiry,13202,100,SEM,3,18,Shannon House 111,Lindgren Johnson,930,1045,"2, 4",None
1181,ENWR,1510,Writing and Critical Inquiry,17913,101,SEM,3,18,New Cabell Hall 183,Lara Musser,1830,1945,"1, 3",None
1182,ENWR,1510,Writing and Critical Inquiry,17914,102,SEM,3,18,Bryan Hall 310,Anna Martin-Beecher,1830,1945,"1, 3",None
1183,ENWR,1510,Writing and Critical Inquiry,17916,104,SEM,3,18,Bryan Hall 334,Emelye Keyser,1830,1945,"1, 3",None
1184,ENWR,1510,Writing and Critical Inquiry,17917,105,SEM,3,18,New Cabell Hall 044,Maayan Ornath,1830,1945,"1, 3",None
1185,ENWR,1510,Writing and Critical Inquiry,17918,106,SEM,3,18,Bryan Hall 310,Kelly Fleming,1830,1945,"2, 4",None
1186,ENWR,1510,Writing and Critical Inquiry,17921,109,SEM,3,18,Bryan Hall 332,Thomas Berenato,1830,1945,"2, 4",None
1187,ENWR,1510,Writing and Critical Inquiry,19544,110,SEM,3,18,Shannon House 109,Emily Nason,1100,1215,"2, 4",None
1188,ENWR,1520,Writing and Critical Inquiry: Community Engagement,19380,1,SEM,3,18,New Cabell Hall 211,Sarah Stephenson,1230,1345,"2, 4",None
